Name,Sb,Sn,Cd,Pd,Ag,Bal,Mo,Nb,Zr,Sr,Rb,Bi,As,Se,Au,Pb,W,Zn,Cu,Ni,Co,Fe,Mn,Cr,V,Ti,Ca,K,Al,P,Si,Cl,S,Mg
TRR-006,0,0,0,0,0,51.00334902,0.000402672,0.00143701,0.015882594,0.013377389,0.005571909,0,0.002218438,0,0,0,0,0.004348304,0,0,0,3.254064835,0.075228491,0.009918799,0.022195094,0.229970788,4.139366752,2.170185617,5.531009688,0.149858265,32.91125652,0.027364508,0,0.432993306
TRR-013b,0,0,0,0,0,51.80754917,0,0.001151008,0.010688236,0.014513161,0.00652002,0,0.001246859,0,0,0.002006977,0,0.004244269,0,0,0,2.626230179,0.057822727,0.006425789,0.018087834,0.194631283,5.969815523,2.226624828,5.512845071,0.124648937,30.68550904,0.013067542,0.055025572,0.661345971
TRR-005,0,0,0,0,0,53.79609141,0,0.001334273,0.01357697,0.012233,0.0047535,0,0.00171455,0,0,0,0,0.003461326,0,0,0,2.715751282,0.077623853,0.007095429,0.01786581,0.206473747,5.382873921,1.870454047,5.151120154,0.117175141,30.18711555,0.020855116,0,0.412430915
CH-015_20-25cm,0,0,0,0,0,63.5693759,0.00062583,0.001705962,0.015776011,0.003759353,0.002897689,0,0.001886093,0,0,0,0,0.006980684,0,0,0,5.1474861,0.027423176,0.02667566,0.033416699,0.534715817,0.33971839,0.942586378,7.845048786,0.249235965,21.09820548,0.055696016,0.096784006,0
CH-061_5-10cm,0,0,0,0,0,55.6772249,0,0.001166147,0.024702871,0.002317983,0.002946772,0,0.000565605,0,0,0,0,0,0,0,0,1.949910147,0.007715863,0.006973432,0.013083234,0.279102143,0,1.187632696,5.721081848,0.150227534,34.94935752,0.025991312,0,0
V-005_40-63,0,0,0,0,0,50.48927496,0.001282015,0.002501154,0.041499238,0.010501693,0.005349574,0,0.001601079,0,0,0,0,0.014826999,0.017483744,0,0,4.345848305,0.093537101,0.009338545,0.027236084,0.427561377,3.395034459,2.183413691,6.009885647,0.229241202,32.114139,0.030963629,0.200845326,0.348635182
CH-030_5-10cm,0,0,0,0,0,48.71993734,0.000708,0.002304946,0.01935136,0.005402895,0.008279695,0,0.001326064,0,0,0,0,0,0,0,0,1.632222335,0,0.009196137,0.016393847,0.198534605,0,2.461340719,4.180142842,0.180092567,42.56476665,0,0,0
CH-158,0,0,0,0,0,54.18235589,0,0.000937386,0.013411937,0.005343981,0.007399036,0,0.001042772,0,0,0,0,0.001565036,0,0,0,2.269969483,0.036363949,0.007731286,0.023664306,0.253028647,0.374967326,3.227510881,6.727937375,0.116760877,32.32499056,0.018197344,0,0.406821924
CH-159,0,0,0,0,0,59.25168618,0,0.0009135,0.013907673,0.010602673,0.004077581,0,0.001890292,0,0,0,0,0.00432742,0,0,0,3.674647762,0.082227721,0.012267794,0.021989409,0.282125591,3.628688344,1.94539982,6.054230135,0.122169765,24.53149218,0.025435305,0.063728706,0.268192155
V-005_2-30,0,0,0,0,0,52.99836463,0.001057808,0.002169873,0.016743963,0.008142556,0.008131847,0,0.002158506,0,0,0,0,0.027112016,0.019117609,0,0,5.715512882,0.181574942,0.015392099,0.036490082,0.457813774,1.097247125,2.579352617,7.594017236,0.184280277,28.92166462,0.043854498,0.089801037,0
